Unique ID,Capture Date,Fate Date,Collar On Days,Fate,Cause Specific Mortality,Sex,Age at capture,Age at death,UTM E,UTM N,Study Area,Study Section
233,12/29/2015,5/31/2016,154,,,m,1.0,,,,FPNWR,FPNWR east
234,1/9/2016,5/31/2016,143,,,f,2.5,,,,Bear Island,Bear Island Hinson
235,1/9/2016,5/31/2016,143,,,m,2.5,,,,Bear Island,Bear Island grid
236,1/8/2016,5/31/2016,144,,,f,4.5,,,,Bear Island,Bear Island grid
237,1/7/2016,1/23/2016,16,dead,confirmed predation - panther,f,3.5,3.5,,,Bear Island,Bear Island grid
238,1/9/2016,5/5/2016,117,dead,unknown - suspected bobcat,f,2,2.5,,,Bear Island,Bear Island Hinson
239,1/8/2016,5/31/2016,144,,,f,3.0,,,,FPNWR,FPNWR east
240,1/8/2016,5/31/2016,144,,,f,4.0,,,,Bear Island,Bear Island grid
241,1/8/2016,3/27/2016,79,dead,confirmed predation - panther,f,4.5,5,,,Bear Island,Bear Island grid
242,1/10/2016,5/31/2016,142,,,f,4.5,,,,Bear Island,Bear Island grid
243,1/9/2016,5/31/2016,143,,,f,4.5,,,,Bear Island,Bear Island grid
244,1/9/2016,5/31/2016,143,,,f,4.0,,,,Bear Island,Bear Island Hinson
245,1/7/2016,1/20/2016,13,dead,capture myopathy,f,4.5,4.5,481118,2898615,Bear Island,Bear Island grid
246,1/9/2016,1/24/2016,15,dead,confirmed predation - bobcat,f,4,4,,,Bear Island,Bear Island Hinson
247,1/7/2016,5/31/2016,145,,,m,1.5,,,,FPNWR,FPNWR west
248,1/9/2016,5/31/2016,143,,,f,4.5,,,,Bear Island,Bear Island Hinson
249,1/10/2016,1/25/2016,15,dead,confirmed predation - bobcat,f,4,4,,,Bear Island,Bear Island grid
250,1/10/2016,5/31/2016,142,,,m,2.5,,,,Add Lands,Add Lands Bakers
251,1/8/2016,5/31/2016,144,,,f,4.5,,,,Bear Island,Bear Island grid
252,1/7/2016,5/31/2016,145,,,m,1.5,,,,Bear Island,Bear Island grid
253,1/8/2016,5/31/2016,144,,,f,4.5,,,,Bear Island,Bear Island Hinson
254,1/8/2016,5/31/2016,144,,,m,2.5,,,,Bear Island,Bear Island grid
